─ 	0x80 	0x2500 	0xE2, 0x94, 0x80 	Box Drawings Light Horizontal
│ 	0x81 	0x2502 	0xE2, 0x94, 0x82 	Box Drawings Light Vertical
┌ 	0x82 	0x250C 	0xE2, 0x94, 0x8C 	Box Drawings Light Down And Right
┐ 	0x83 	0x2510 	0xE2, 0x94, 0x90 	Box Drawings Light Down And Left
└ 	0x84 	0x2514 	0xE2, 0x94, 0x94 	Box Drawings Light Up And Right
┘ 	0x85 	0x2518 	0xE2, 0x94, 0x98 	Box Drawings Light Up And Left
├ 	0x86 	0x251C 	0xE2, 0x94, 0x9C 	Box Drawings Light Vertical And Right
┤ 	0x87 	0x2524 	0xE2, 0x94, 0xA4 	Box Drawings Light Vertical And Left
┬ 	0x88 	0x252C 	0xE2, 0x94, 0xAC 	Box Drawings Light Down And Horizontal
┴ 	0x89 	0x2534 	0xE2, 0x94, 0xB4 	Box Drawings Light Up And Horizontal
┼ 	0x8A 	0x253C 	0xE2, 0x94, 0xBC 	Box Drawings Light Vertical And Horizontal
▀ 	0x8B 	0x2580 	0xE2, 0x96, 0x80 	Upper Half Block
▄ 	0x8C 	0x2584 	0xE2, 0x96, 0x84 	Lower Half Block
█ 	0x8D 	0x2588 	0xE2, 0x96, 0x88 	Full Block
▌ 	0x8E 	0x258C 	0xE2, 0x96, 0x8C 	Left Half Block
▐ 	0x8F 	0x2590 	0xE2, 0x96, 0x90 	Right Half Block
░ 	0x90 	0x2591 	0xE2, 0x96, 0x91 	Light Shade
▒ 	0x91 	0x2592 	0xE2, 0x96, 0x92 	Medium Shade
▓ 	0x92 	0x2593 	0xE2, 0x96, 0x93 	Dark Shade
⌠ 	0x93 	0x2320 	0xE2, 0x8C, 0xA0 	Top Half Integral
■ 	0x94 	0x25A0 	0xE2, 0x96, 0xA0 	Black Square
∙ 	0x95 	0x2219 	0xE2, 0x88, 0x99 	Bullet Operator
√ 	0x96 	0x221A 	0xE2, 0x88, 0x9A 	Square Root
≈ 	0x97 	0x2248 	0xE2, 0x89, 0x88 	Almost Equal To
≤ 	0x98 	0x2264 	0xE2, 0x89, 0xA4 	Less-than Or Equal To
≥ 	0x99 	0x2265 	0xE2, 0x89, 0xA5 	Greater-than Or Equal To
  	0x9A 	0x00A0 	0xC2, 0xA0 	No-break Space
⌡ 	0x9B 	0x2321 	0xE2, 0x8C, 0xA1 	Bottom Half Integral
° 	0x9C 	0x00B0 	0xC2, 0xB0 	Degree Sign
² 	0x9D 	0x00B2 	0xC2, 0xB2 	Superscript Two
· 	0x9E 	0x00B7 	0xC2, 0xB7 	Middle Dot
÷ 	0x9F 	0x00F7 	0xC3, 0xB7 	Division Sign
═ 	0xA0 	0x2550 	0xE2, 0x95, 0x90 	Box Drawings Double Horizontal
║ 	0xA1 	0x2551 	0xE2, 0x95, 0x91 	Box Drawings Double Vertical
╒ 	0xA2 	0x2552 	0xE2, 0x95, 0x92 	Box Drawings Down Single And Right Double
ё 	0xA3 	0x0451 	0xD1, 0x91 	Cyrillic Small Letter Io
є 	0xA4 	0x0454 	0xD1, 0x94 	Cyrillic Small Letter Ukrainian Ie
╔ 	0xA5 	0x2554 	0xE2, 0x95, 0x94 	Box Drawings Double Down And Right
і 	0xA6 	0x0456 	0xD1, 0x96 	Cyrillic Small Letter Byelorussian-ukrainian I
ї 	0xA7 	0x0457 	0xD1, 0x97 	Cyrillic Small Letter Yi (ukrainian)
╗ 	0xA8 	0x2557 	0xE2, 0x95, 0x97 	Box Drawings Double Down And Left
╘ 	0xA9 	0x2558 	0xE2, 0x95, 0x98 	Box Drawings Up Single And Right Double
╙ 	0xAA 	0x2559 	0xE2, 0x95, 0x99 	Box Drawings Up Double And Right Single
╚ 	0xAB 	0x255A 	0xE2, 0x95, 0x9A 	Box Drawings Double Up And Right
╛ 	0xAC 	0x255B 	0xE2, 0x95, 0x9B 	Box Drawings Up Single And Left Double
ґ 	0xAD 	0x0491 	0xD2, 0x91 	Cyrillic Small Letter Ghe With Upturn
╝ 	0xAE 	0x255D 	0xE2, 0x95, 0x9D 	Box Drawings Double Up And Left
╞ 	0xAF 	0x255E 	0xE2, 0x95, 0x9E 	Box Drawings Vertical Single And Right Double
╟ 	0xB0 	0x255F 	0xE2, 0x95, 0x9F 	Box Drawings Vertical Double And Right Single
╠ 	0xB1 	0x2560 	0xE2, 0x95, 0xA0 	Box Drawings Double Vertical And Right
╡ 	0xB2 	0x2561 	0xE2, 0x95, 0xA1 	Box Drawings Vertical Single And Left Double
Ё 	0xB3 	0x0401 	0xD0, 0x81 	Cyrillic Capital Letter Io
Є 	0xB4 	0x0404 	0xD0, 0x84 	Cyrillic Capital Letter Ukrainian Ie
╣ 	0xB5 	0x2563 	0xE2, 0x95, 0xA3 	Box Drawings Double Vertical And Left
